store_id,product_id,date,sales,stock
FreshBazaar,Toor Dal,2024-06-01,69,111
FreshBazaar,Toor Dal,2024-06-02,72,109
FreshBazaar,Toor Dal,2024-06-03,75,107
FreshBazaar,Toor Dal,2024-06-04,76,102
FreshBazaar,Toor Dal,2024-06-05,71,103
FreshBazaar,Toor Dal,2024-06-06,75,100
FreshBazaar,Toor Dal,2024-06-07,73,99
FreshBazaar,Toor Dal,2024-06-08,78,95
FreshBazaar,Toor Dal,2024-06-09,85,91
FreshBazaar,Toor Dal,2024-06-10,73,89
FreshBazaar,Toor Dal,2024-06-11,77,85
FreshBazaar,Toor Dal,2024-06-12,84,92
FreshBazaar,Toor Dal,2024-06-13,89,87
FreshBazaar,Toor Dal,2024-06-14,87,80
FreshBazaar,Toor Dal,2024-06-15,85,88
FreshBazaar,Toor Dal,2024-06-16,85,87
FreshBazaar,Toor Dal,2024-06-17,86,67
FreshBazaar,Toor Dal,2024-06-18,90,78
FreshBazaar,Toor Dal,2024-06-19,99,81
FreshBazaar,Toor Dal,2024-06-20,114,60
FreshBazaar,Toor Dal,2024-06-21,92,57
FreshBazaar,Toor Dal,2024-06-22,89,68
FreshBazaar,Toor Dal,2024-06-23,90,67
FreshBazaar,Toor Dal,2024-06-24,90,65
FreshBazaar,Toor Dal,2024-06-25,102,43
FreshBazaar,Toor Dal,2024-06-26,110,69
FreshBazaar,Toor Dal,2024-06-27,121,41
FreshBazaar,Toor Dal,2024-06-28,115,49
FreshBazaar,Toor Dal,2024-06-29,110,55
FreshBazaar,Toor Dal,2024-06-30,115,28
FreshBazaar,Sunflower Oil,2024-06-01,50,98
FreshBazaar,Sunflower Oil,2024-06-02,54,96
FreshBazaar,Sunflower Oil,2024-06-03,57,92
FreshBazaar,Sunflower Oil,2024-06-04,60,92
FreshBazaar,Sunflower Oil,2024-06-05,64,86
FreshBazaar,Sunflower Oil,2024-06-06,59,89
FreshBazaar,Sunflower Oil,2024-06-07,61,81
FreshBazaar,Sunflower Oil,2024-06-08,57,82
FreshBazaar,Sunflower Oil,2024-06-09,63,81
FreshBazaar,Sunflower Oil,2024-06-10,73,80
FreshBazaar,Sunflower Oil,2024-06-11,66,68
FreshBazaar,Sunflower Oil,2024-06-12,81,77
FreshBazaar,Sunflower Oil,2024-06-13,69,79
FreshBazaar,Sunflower Oil,2024-06-14,73,68
FreshBazaar,Sunflower Oil,2024-06-15,65,71
FreshBazaar,Sunflower Oil,2024-06-16,67,64
FreshBazaar,Sunflower Oil,2024-06-17,93,55
FreshBazaar,Sunflower Oil,2024-06-18,70,53
FreshBazaar,Sunflower Oil,2024-06-19,80,56
FreshBazaar,Sunflower Oil,2024-06-20,72,45
FreshBazaar,Sunflower Oil,2024-06-21,82,67
FreshBazaar,Sunflower Oil,2024-06-22,88,59
FreshBazaar,Sunflower Oil,2024-06-23,94,52
FreshBazaar,Sunflower Oil,2024-06-24,105,58
FreshBazaar,Sunflower Oil,2024-06-25,84,38
FreshBazaar,Sunflower Oil,2024-06-26,107,39
FreshBazaar,Sunflower Oil,2024-06-27,95,24
FreshBazaar,Sunflower Oil,2024-06-28,114,31
FreshBazaar,Sunflower Oil,2024-06-29,93,18
FreshBazaar,Sunflower Oil,2024-06-30,117,20
FreshBazaar,Rice,2024-06-01,53,111
FreshBazaar,Rice,2024-06-02,52,108
FreshBazaar,Rice,2024-06-03,54,105
FreshBazaar,Rice,2024-06-04,57,105
FreshBazaar,Rice,2024-06-05,63,101
FreshBazaar,Rice,2024-06-06,62,102
FreshBazaar,Rice,2024-06-07,59,93
FreshBazaar,Rice,2024-06-08,61,91
FreshBazaar,Rice,2024-06-09,68,92
FreshBazaar,Rice,2024-06-10,70,94
FreshBazaar,Rice,2024-06-11,71,81
FreshBazaar,Rice,2024-06-12,80,79
FreshBazaar,Rice,2024-06-13,71,75
FreshBazaar,Rice,2024-06-14,82,85
FreshBazaar,Rice,2024-06-15,72,86
FreshBazaar,Rice,2024-06-16,80,67
FreshBazaar,Rice,2024-06-17,82,72
FreshBazaar,Rice,2024-06-18,95,81
FreshBazaar,Rice,2024-06-19,83,65
FreshBazaar,Rice,2024-06-20,92,72
FreshBazaar,Rice,2024-06-21,80,54
FreshBazaar,Rice,2024-06-22,103,63
FreshBazaar,Rice,2024-06-23,90,54
FreshBazaar,Rice,2024-06-24,104,45
FreshBazaar,Rice,2024-06-25,84,54
FreshBazaar,Rice,2024-06-26,74,56
FreshBazaar,Rice,2024-06-27,99,70
FreshBazaar,Rice,2024-06-28,73,37
FreshBazaar,Rice,2024-06-29,92,36
FreshBazaar,Rice,2024-06-30,84,40
FreshBazaar,Sugar,2024-06-01,37,65
FreshBazaar,Sugar,2024-06-02,38,62
FreshBazaar,Sugar,2024-06-03,38,61
FreshBazaar,Sugar,2024-06-04,36,60
FreshBazaar,Sugar,2024-06-05,34,57
FreshBazaar,Sugar,2024-06-06,41,55
FreshBazaar,Sugar,2024-06-07,45,53
FreshBazaar,Sugar,2024-06-08,52,46
